"Name","RIJPTIJD","KOOKTYPE","VLEESKLEUR NA KOKEN","VERKLEURING KOKEN","NABAKKEN","GRAUW NA VOORBAKKEN","Fictief"
"R252...178",43,36,62,61,67,72,85
"R253...179",69,30,64,60,66,71,14
"R253...180",69,30,64,60,66,71,26
"R254...181",64,30,60,65,69,73,54
"R254...182",64,30,60,65,69,73,60
"R255...183",46,41,64,65,68,74,13
"R255...184",46,41,64,65,68,74,14
"R26",63,43,61,62,64,75,66
"R27",50,40,49,57,69,72,30
"R28",74,38,60,60,75,76,37
"R29",73,33,69,61,73,73,61
"R3",48,44,66,63,61,73,84
"R30",73,44,66,63,74,73,14
"R31",40,33,68,62,69,76,20
"R32",49,38,66,57,66,78,38
"R33",68,36,61,60,76,71,66
"R34",65,38,60,54,72,57,74
"R35",78,26,64,65,74,72,98
"R36",70,35,62,61,76,74,54
"R37",69,24,70,58,68,71,65
"R38",55,41,60,54,72,69,84
"R39",60,43,59,58,77,74,22
"R4",59,33,60,59,64,69,45
"R40",69,25,70,60,67,73,80
"R41",51,40,68,63,65,71,92
"R42",69,36,65,65,80,71,57
"R43",78,29,52,61,72,68,60
"R44",76,35,66,64,69,74,13
"R45",65,36,57,58,75,72,44
"R46",61,36,69,59,66,69,33
"R47",64,35,67,62,70,74,16
"R48",81,33,48,65,71,70,92
"R49",68,33,69,64,74,74,86
"R5",73,30,60,62,63,73,23
"R50",71,39,52,61,71,73,23
"R51",65,35,67,58,65,71,51
"R52",66,38,67,64,76,75,57
"R53",48,41,68,60,66,72,58
"R54",70,33,64,61,65,65,29
"R55",75,39,65,53,77,67,49
"R56",51,41,65,59,65,69,17
"R57",50,43,63,66,74,72,30
"R58",65,29,66,68,45,63,79
"R59",67,25,67,70,70,75,21
"R6",78,33,48,58,76,71,36
"R60",70,35,63,66,77,74,78
"R61",75,21,70,64,64,67,61
"R62",46,45,66,61,70,69,26
"R63",49,44,64,66,70,77,37
"R64",48,35,68,64,62,70,89
"R65",44,34,68,60,64,70,74
"R66",63,39,62,67,62,71,43
"R67",50,38,62,61,67,66,63
"R68",66,36,68,59,74,71,68
"R69",66,34,61,63,67,72,22
"R7",75,33,50,59,75,71,55
"R70",40,38,61,63,57,71,98
"R71",66,38,65,68,66,73,54
"R72",61,41,65,64,75,70,95
"R73",61,31,50,56,73,70,45
"R74",59,35,72,55,67,69,41
"R75",61,31,65,62,74,78,19
"R76",76,29,61,65,66,71,96
"R77",66,38,67,62,71,73,15
"R78",53,35,69,62,65,73,42
"R79",46,31,71,57,67,65,34
"R8",69,34,69,62,72,78,12
"R80",73,35,61,62,77,74,17
"R81",70,26,67,61,72,69,73
"R82",55,43,68,70,74,72,55
"R83",54,39,51,59,66,72,77
"R84",65,41,56,60,70,74,70
"R85",50,39,63,58,62,69,17
"R86",50,31,55,52,61,54,22
"R87",68,31,70,62,70,76,57
"R88",70,32,68,70,67,71,79
"R89",68,30,70,67,63,70,72
"R9",71,40,63,62,72,77,41
"R90",65,37,62,67,72,70,22
"R91",70,40,61,66,76,74,18
"R92",68,38,61,71,67,75,55
"R93",56,41,60,67,61,67,38
"R94",53,35,65,67,76,76,67
"R95",50,43,65,57,70,68,54
"R96",50,48,67,61,67,70,58
"R97",63,42,60,66,67,75,46
"R98",58,33,52,61,67,68,65
"R99",62,32,66,65,66,69,58
