ID;RIJPTIJD;KIEMRUST;KOOKSCORE;KOOKTYPE;VLEESKLEUR NA KOKEN;VERKLEURING KOKEN;NABAKKEN;GRAUW NA VOORBAKKEN;Negatief
R212;67;0;20;AB;66;67;63;72;90
R213;62;0;47;C  ;66;68;72;71;72
R214;53;0;37;BC ;65;61;78;72;16
R215;65;0;40;BC ;62;62;70;77;45
R216;54;0;44;BC ;67;68;53;66;86
R217;45;0;28;B  ;66;67;65;75;92
R218;57;0;40;BC ;48;53;69;62;71
R219;65;0;30;B  ;68;64;71;75;76
R22;75;0;36;BC ;64;59;73;72;11
R220;67;0;35;BC ;63;66;76;77;44
R221;67;0;52;C  ;62;68;77;76;85
R222;67;0;33;B  ;44;60;70;69;45
R223;70;0;25;B  ;62;62;73;75;83
R224;67;0;37;BC ;61;55;73;69;41
R225;50;0;47;C  ;72;70;64;75;52
R226;68;0;33;B  ;63;66;65;72;98
R227;65;0;35;BC ;63;58;79;79;21
R228;58;0;48;C  ;63;65;66;68;21
R229;52;0;45;C  ;59;62;67;70;52
R23;73;0;39;BC ;62;63;70;76;95
R230;53;0;42;BC ;49;55;68;65;24
R231;62;0;49;C  ;70;66;67;72;20
R232;63;0;30;B  ;66;61;65;69;63
R233;68;0;36;BC ;65;62;59;63;99
R234;62;0;40;BC ;67;65;72;68;50
R235;61;0;41;BC ;48;64;63;66;67
R236;53;0;35;BC ;50;61;62;70;73
R237;60;0;27;B  ;56;61;65;72;89
R238;72;0;32;B  ;70;61;66;71;90
R239;53;0;49;C  ;62;65;69;74;29
R24;68;0;31;B  ;70;58;61;70;45
R240;77;0;27;B  ;69;62;70;71;70
R241;52;0;32;B  ;60;62;62;70;94
R242;67;0;28;B  ;60;61;66;69;17
R243;69;0;32;B  ;61;64;60;65;49
R244;47;0;43;BC ;60;60;76;70;43
R245;57;0;33;B  ;69;61;61;76;37
R246;43;0;45;C  ;60;67;71;75;90
R247;57;0;27;B  ;70;66;68;73;59
R248;55;0;45;C  ;64;65;64;68;16
R249;80;0;20;AB;60;68;74;75;35
R25;62;0;37;BC ;64;67;56;67;79
R250;63;65;36;BC ;60;64;74;67;34
R251;60;0;35;BC ;68;60;64;70;73
R251;60;0;35;BC ;68;60;64;70;98
R252;43;0;36;BC ;62;61;67;72;52
R252;43;0;36;BC ;62;61;67;72;85
R253;69;0;30;B  ;64;60;66;71;14
R253;69;0;30;B  ;64;60;66;71;26
R254;64;0;30;B  ;60;65;69;73;54
R254;64;0;30;B  ;60;65;69;73;60
R255;46;0;41;BC ;64;65;68;74;13
R255;46;0;41;BC ;64;65;68;74;14
R26;63;0;43;BC ;61;62;64;75;66
R27;50;0;40;BC ;49;57;69;72;30
